背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,出塁率,長打率,OPS,year,team
0,木村拓也,両,.264,113,338,311,26,82,8,9.8,15,2,2,1-1-0,107,29,64,17,2,3,5,2,4,4,50.0,3,0,6,.306,.344,.650,2007,G
2,小笠原道大,左,.313,142,617,566,95,177,9,5.1,33,1,31,20-7-0,305,88,98,43,5,4,0,4,4,0,100.0,11,0,10,.363,.539,.902,2007,G
5,ゴンザレス,右,.247,25,79,73,9,18,1,5.6,4,0,3,3-0-0,31,12,16,2,0,3,0,1,0,0,-,1,0,5,.291,.425,.716,2007,G
6,小坂誠,左,.125,56,31,24,13,3,0,0.0,1,1,0,-,6,3,8,4,0,1,1,1,2,0,100.0,1,0,0,.267,.250,.517,2007,G
7,二岡智宏,右,.295,139,562,508,68,150,8,5.3,22,0,20,11-8-0,232,83,91,34,2,7,10,3,1,2,33.3,9,0,15,.346,.457,.803,2007,G
8,谷佳知,右,.318,141,595,541,63,172,13,7.6,31,0,10,8-2-0,233,53,48,30,0,3,20,1,10,2,83.3,1,0,10,.357,.431,.787,2007,G
9,清水隆行,左,.339,66,129,112,17,38,6,15.8,3,0,3,2-1-0,50,14,13,14,1,1,2,0,0,0,-,0,0,3,.417,.446,.864,2007,G
10,阿部慎之助,左,.275,140,580,499,72,137,7,5.1,20,0,33,19-7-1,256,101,76,57,7,11,3,10,1,2,33.3,8,8,17,.355,.513,.868,2007,G
12,鈴木尚広,両,.297,96,124,111,36,33,8,24.2,3,2,0,-,40,10,25,8,1,1,3,1,18,4,81.8,0,0,2,.347,.360,.707,2007,G
23,脇谷亮太,左,.282,91,188,177,28,50,8,16.0,6,5,1,1-0-0,69,14,30,5,1,3,3,0,8,1,88.9,3,0,3,.314,.390,.703,2007,G
24,高橋由伸,左,.308,133,590,503,76,155,12,7.7,29,1,35,17-11-0,291,88,107,66,6,16,3,2,1,5,16.7,1,0,3,.404,.579,.982,2007,G
25,李承燁,左,.274,137,583,541,84,148,10,6.8,29,2,30,17-10-0,271,74,119,38,0,1,2,1,4,3,57.1,5,0,8,.322,.501,.823,2007,G
31,小関竜也,左,.250,5,4,4,2,1,0,0.0,0,0,1,0-1-0,4,2,1,0,0,0,0,0,0,0,-,0,0,0,.250,1.000,1.250,2007,G
35,亀井義行,左,.158,20,23,19,3,3,1,33.3,1,0,1,1-0-0,7,3,7,3,0,0,0,1,1,0,100.0,0,0,0,.261,.368,.629,2007,G
36,岩舘学,左,.250,5,5,4,0,1,0,0.0,1,0,0,-,2,0,0,0,0,0,1,0,0,0,-,0,0,0,.250,.500,.750,2007,G
40,村田善則,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
44,大道典嘉,右,.306,42,43,36,5,11,1,9.1,3,0,1,1-0-0,17,1,7,6,0,0,1,0,0,0,-,0,0,2,.405,.472,.877,2007,G
45,小田嶋正邦,右,.190,16,25,21,0,4,0,0.0,1,0,0,-,5,1,6,4,1,0,0,0,0,0,-,0,0,0,.320,.238,.558,2007,G
48,矢野謙次,右,.291,103,178,158,28,46,4,8.7,14,2,7,6-1-0,85,29,32,9,1,7,3,1,1,2,33.3,0,0,2,.354,.538,.892,2007,G
49,ホリンズ,右,.257,124,407,370,43,95,4,4.2,23,1,12,11-1-0,156,45,85,33,4,1,1,2,2,2,50.0,2,0,10,.318,.422,.739,2007,G
51,古城茂幸,左,.191,71,80,68,13,13,3,23.1,3,0,0,-,16,5,13,7,0,0,5,0,5,4,55.6,0,0,1,.267,.235,.502,2007,G
53,實松一成,右,.000,4,4,4,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
54,三浦貴,右,.000,4,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
56,加藤健,右,.190,28,25,21,2,4,1,25.0,0,0,1,1-0-0,7,7,4,2,0,0,0,2,0,0,-,0,0,3,.240,.333,.573,2007,G
61,坂本勇人,右,.333,4,3,3,1,1,0,0.0,0,0,0,-,1,2,0,0,0,0,0,0,1,0,100.0,0,0,0,.333,.333,.667,2007,G
11,久保裕也,右,.067,13,20,15,1,1,0,0.0,1,0,0,-,2,0,7,0,0,0,5,0,0,0,-,0,0,0,.067,.133,.200,2007,G
13,林昌範,左,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
17,姜建銘,右,.143,17,9,7,0,1,0,0.0,0,0,0,-,1,0,0,1,0,0,1,0,0,0,-,1,0,0,.250,.143,.393,2007,G
19,上原浩治,右,.000,55,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
20,豊田清,右,.000,47,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
21,高橋尚成,左,.078,28,60,51,3,4,0,0.0,1,0,0,-,5,3,29,2,0,0,7,0,0,0,-,1,0,2,.113,.098,.211,2007,G
22,福田聡志,右,.000,15,19,14,0,0,0,-,0,0,0,-,0,0,9,0,0,0,5,0,0,0,-,0,0,0,.000,.000,.000,2007,G
26,内海哲也,左,.056,28,63,54,3,3,0,0.0,0,0,0,-,3,2,35,3,0,1,5,0,0,0,-,0,0,0,.121,.056,.176,2007,G
27,門倉健,右,.000,12,10,9,0,0,0,-,0,0,0,-,0,0,7,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2007,G
28,金刃憲人,左,.121,22,42,33,1,4,0,0.0,0,0,0,-,4,1,10,2,0,0,7,0,0,0,-,3,0,0,.171,.121,.293,2007,G
29,前田幸長,左,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
30,西村健太朗,右,.000,57,3,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2007,G
33,野間口貴彦,右,.000,7,8,8,0,0,0,-,0,0,0,-,0,0,6,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
